timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-11T18:10:29.738237,11196,-2416,12020,-3372,-4532,-778,standing
2025-07-11T18:10:29.738237,8068,-2948,16088,-8679,-4109,-10144,standing
2025-07-11T18:10:29.738237,10356,-268,16408,-8330,-1390,-9759,standing
2025-07-11T18:10:29.738237,9576,-864,17092,-5731,-407,-5735,standing
2025-07-11T18:10:29.738237,9044,-1380,17420,-5804,-11131,-2292,standing
2025-07-11T18:10:29.738237,12680,-4276,15392,-5368,-19761,-5098,standing
2025-07-11T18:10:29.738237,14736,-4948,10836,-5146,-13679,-10605,standing
2025-07-11T18:10:29.738237,14288,-3248,10264,-985,4597,-14831,standing
2025-07-11T18:10:29.738237,11220,-2392,14420,6413,13932,-13750,standing
2025-07-11T18:10:29.738237,6520,-1908,15704,11083,10919,-13172,standing
2025-07-11T18:10:29.738237,9320,1016,14632,3386,-3671,-10065,standing
2025-07-11T18:10:29.738237,9960,1848,12936,1039,-1736,-7194,standing
2025-07-11T18:10:29.738237,10576,-124,13924,-41,4900,-6136,standing
2025-07-11T18:10:29.738237,8880,-1080,13056,-637,2725,-6945,standing
2025-07-11T18:10:29.738237,9784,-440,13692,-361,3246,-6775,standing
2025-07-11T18:10:29.738237,9980,-768,13944,720,3143,-7434,standing
2025-07-11T18:10:29.738237,10784,272,12904,1820,2617,-8206,standing
2025-07-11T18:10:29.738237,11384,1164,11032,3308,-5274,-5566,standing
2025-07-11T18:10:29.738237,8204,3036,12560,-880,6269,-7047,standing
2025-07-11T18:10:29.738237,8952,124,14700,-2514,-396,-7874,standing
2025-07-11T18:10:29.738237,11028,-1096,12032,-2657,-5410,-926,standing
2025-07-11T18:10:29.738237,11592,-2484,12012,-3620,-3521,-1573,standing
2025-07-11T18:10:29.738237,4212,-5532,19320,-7937,11606,-10223,standing
2025-07-11T18:10:29.738237,12940,-1236,13384,2098,15094,-9558,standing
2025-07-11T18:10:29.738237,8024,164,16528,8732,854,-11243,standing
2025-07-11T18:10:29.738237,6756,-4536,12532,1146,485,-7095,standing
2025-07-11T18:10:29.738237,11940,-2276,12812,3945,7073,-8263,standing
2025-07-11T18:10:29.738237,9172,-84,13500,-727,995,2481,standing
2025-07-11T18:10:29.738237,8744,-28,13096,-1033,2624,2893,standing
2025-07-11T18:10:29.738237,8804,-712,13876,-1346,4198,3335,standing
2025-07-11T18:10:29.738237,8672,-1904,15688,-943,3026,2275,standing
2025-07-11T18:10:29.738237,9136,-1964,16072,326,262,323,standing
2025-07-11T18:10:29.738237,9348,-520,15228,-264,-1852,-1816,standing
2025-07-11T18:10:29.738237,9592,540,13460,-1541,-3077,-1586,standing
2025-07-11T18:10:29.738237,9424,700,12548,-2670,-2083,-257,standing
2025-07-11T18:10:29.738237,10320,-884,13768,-1575,603,140,standing
2025-07-11T18:10:29.738237,10240,-892,14444,464,-121,-1110,standing
2025-07-11T18:10:29.738237,11788,-2480,11480,-3502,-1626,-2444,standing
2025-07-11T18:10:29.738237,8640,-3704,13276,-1431,5022,-5273,standing
2025-07-11T18:10:29.738237,10508,636,12568,-1157,-308,-191,standing
2025-07-11T18:10:29.738237,11088,-968,13424,-1556,245,758,standing
2025-07-11T18:10:29.738237,10948,-1732,14680,-152,-862,-330,standing
2025-07-11T18:10:29.738237,9992,-1208,13884,311,-3855,-1720,standing
2025-07-11T18:10:29.738237,10616,-1016,12460,-948,-5502,-1739,standing
2025-07-11T18:10:29.738237,12064,-3028,12256,-2772,1530,-2937,standing
2025-07-11T18:10:29.738237,12224,-2664,12844,-1288,5196,-3803,standing
2025-07-11T18:10:29.738237,11452,-2968,12916,-47,7532,-3836,standing
2025-07-11T18:10:29.738237,10440,-3272,13140,-462,7348,-4217,standing
2025-07-11T18:10:29.738237,10612,164,13388,176,-638,-1555,standing
2025-07-11T18:10:30.780351,9716,40,6684,-17433,-10438,-10500,standing
2025-07-11T18:10:30.780351,11984,904,6888,-18133,-7960,-12164,standing
2025-07-11T18:10:30.780351,13908,2532,7412,-14426,-5347,-9604,standing
2025-07-11T18:10:30.780351,12676,2980,8460,-9636,-4322,-7698,standing
2025-07-11T18:10:30.780351,14692,912,9360,-7295,741,-16497,standing
2025-07-11T18:10:30.780351,9412,5788,10004,-4971,-1034,-13854,standing
2025-07-11T18:10:30.780351,10676,5036,10064,-4381,4488,-16134,standing
2025-07-11T18:10:30.780351,13376,2420,8752,-5837,4030,-17072,standing
2025-07-11T18:10:30.780351,7192,-964,5652,-14387,-16279,-9670,standing
2025-07-11T18:10:30.780351,12068,4524,9072,-6468,-6598,-10124,standing
2025-07-11T18:10:30.780351,6752,-1900,4276,-11746,-24387,-10679,standing
2025-07-11T18:10:30.780351,12284,-6636,2356,-14352,-30962,10041,standing
2025-07-11T18:10:30.780351,7740,-3612,2976,-8474,-32768,-8600,standing
2025-07-11T18:10:30.780351,8096,-4512,3136,-6475,-32768,-5733,standing
2025-07-11T18:10:30.780351,8840,-4796,2664,-5329,-32768,-727,standing
2025-07-11T18:10:30.780351,10400,-4948,2032,-9072,-31510,5858,standing
2025-07-11T18:10:30.780351,13220,-8532,3948,-14444,-30435,12061,standing
2025-07-11T18:10:30.780351,16776,-10524,5024,-11521,-26534,16231,standing
2025-07-11T18:10:30.780351,19360,-11260,5192,-11503,-18041,22545,standing
2025-07-11T18:10:30.780351,19272,-11900,4732,-12821,-11868,27034,standing
2025-07-11T18:10:30.780351,20560,-12724,3608,-12477,-8903,27634,standing
2025-07-11T18:10:30.780351,22292,-14596,2500,-11328,-6433,27170,standing
