timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:05:00.127103,5320,-552,15928,1101,5146,-1008,sitting
2025-07-13T11:05:00.127103,5124,-1436,16444,1358,4274,554,sitting
2025-07-13T11:05:00.127103,4656,-2480,16440,-52,-36,233,sitting
2025-07-13T11:05:00.127103,7128,-2444,16744,-3362,-8660,1893,sitting
2025-07-13T11:05:00.127103,6932,-2232,16840,-5627,-22160,3220,sitting
2025-07-13T11:05:00.127103,4632,648,12920,-8108,-28360,-97,sitting
2025-07-13T11:05:00.127103,6492,-7744,13260,-11125,-31182,576,sitting
2025-07-13T11:05:00.127103,9332,-892,11744,-13956,-25710,696,sitting
2025-07-13T11:05:00.127103,14580,-1904,15240,-10017,-9142,-2403,sitting
2025-07-13T11:05:00.129200,11596,-2432,11676,-458,-1883,-4704,sitting
2025-07-13T11:05:00.129200,10060,180,9280,654,3291,-4963,sitting
2025-07-13T11:05:00.129200,10188,-1472,13316,-5290,14718,-6208,sitting
2025-07-13T11:05:00.129200,-1972,-3552,32767,-4237,-2206,-5269,sitting
2025-07-13T11:05:00.129200,10400,-2364,14392,-5145,11889,-1172,sitting
2025-07-13T11:05:00.129200,8996,-1332,12908,-4907,9855,1897,sitting
2025-07-13T11:05:00.129200,9676,-1840,14960,-2475,8364,3132,sitting
2025-07-13T11:05:00.129200,10400,-3632,14908,108,7485,3081,sitting
2025-07-13T11:05:00.129200,8568,-5052,13932,3570,5462,1144,sitting
2025-07-13T11:05:00.129200,9204,-500,11700,2788,2890,8565,sitting
2025-07-13T11:05:00.129200,9168,2812,16768,6032,-8166,12954,sitting
2025-07-13T11:05:00.129200,11692,-2936,11764,3463,-221,11572,sitting
2025-07-13T11:05:00.129200,14148,-6712,10688,2365,480,3689,sitting
2025-07-13T11:05:00.129200,11076,-3992,10184,951,-2662,-2626,sitting
2025-07-13T11:05:00.129200,8956,-2048,11704,595,-4962,-6447,sitting
2025-07-13T11:05:00.129200,10124,-3476,12960,3727,-3428,-9588,sitting
2025-07-13T11:05:00.129200,9024,-2284,10556,5366,-4598,-11614,sitting
2025-07-13T11:05:00.133163,6204,-800,8980,1687,-6052,-13824,sitting
2025-07-13T11:05:00.133163,7476,-576,8588,-5507,-10290,-15231,sitting
2025-07-13T11:05:00.133163,8996,-2304,9280,-10264,-6299,-12299,sitting
2025-07-13T11:05:00.133163,7760,-3360,11428,-12837,286,-6880,sitting
2025-07-13T11:05:00.133163,7728,-4440,12416,-16101,5180,-2891,sitting
2025-07-13T11:05:00.133163,7224,-6200,16100,-18931,8702,-607,sitting
2025-07-13T11:05:00.133163,9320,-8716,18056,-17703,11534,-1167,sitting
2025-07-13T11:05:00.133665,8012,-9928,18304,-12884,13597,-2635,sitting
2025-07-13T11:05:00.133665,5948,-9568,17188,-6729,11230,-2372,sitting
2025-07-13T11:05:00.133665,4528,-7644,17168,-364,6808,-697,sitting
2025-07-13T11:05:00.133665,5792,-6672,15972,4566,3524,-1757,sitting
2025-07-13T11:05:00.133665,8368,-4112,14800,7074,4103,-2510,sitting
2025-07-13T11:05:00.133665,10200,-2868,15048,8190,1210,-2196,sitting
2025-07-13T11:05:00.133665,8876,-468,12740,7221,-1001,-2134,sitting
2025-07-13T11:05:00.133665,8940,-148,13144,4513,1351,-1882,sitting
